genre	subgenre	url
Shopping	Gas & Automotive	/categories/119
Shopping	Grocery	/categories/106
Shopping	Gym	/categories/360
Shopping	Hardware Store	/categories/200
Shopping	Health & Fitness	/categories/118
Shopping	Mall	/categories/11
Shopping	Medical	/categories/191
Shopping	Dentist	/categories/190
Shopping	Doctor's Office	/categories/192
Shopping	Hospital	/categories/132
Shopping	Other - Medical	/categories/210
Shopping	Movie Rental	/categories/242
Shopping	Music	/categories/911
Shopping	Other - Services	/categories/217
Shopping	Other - Shopping	/categories/54
Shopping	Paper Goods	/categories/163
Shopping	Pet Store	/categories/173
Shopping	Record Store	/categories/193
Shopping	Salon & Barbershop	/categories/117
Shopping	Sports & Outdoors	/categories/61
Shopping	Bike Shop	/categories/392
Shopping	Camping & Outdoors	/categories/416
Shopping	Golf Shop	/categories/414
Shopping	Other Sports	/categories/413
Shopping	Running	/categories/418
Shopping	Skate Shop	/categories/417
Shopping	Ski Shop	/categories/415
Shopping	Tattoo Parlor	/categories/347
Shopping	Technology	/categories/36
Shopping	Thrift Store	/categories/34
Shopping	Tobacco & Cigars	/categories/109
Shopping	Toys & Games	/categories/62
Shopping	Veterinarian	/categories/365
Shopping	Wine & Spirits	/categories/362
Travel	Travel	/categories/3
Travel	Airport	/categories/45
Travel	Terminal	/categories/224
Travel	Tram	/categories/226
Travel	Bridge	/categories/128
Travel	Bus Station	/categories/46
Travel	Ferry	/categories/172
Travel	Hotel	/categories/199
Travel	Antique Hotel	/categories/43
Travel	Bed & Breakfast	/categories/92
Travel	Hostel	/categories/93
Travel	Luxury Hotel	/categories/49
Travel	Modern Hotel	/categories/47
Travel	Motel	/categories/44
Travel	Light Rail	/categories/94
Travel	Rental Car	/categories/227
Travel	Resort	/categories/48
Travel	Subway	/categories/164
Travel	Train Station	/categories/95
Travel	Travel-Other	/categories/57
